year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power
2014,13.017005083966255,11.8879382384223,Diesel,Individual,Manual,First Owner,23.4,1248,74.0
2014,12.821260987319457,11.695255355062795,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52
2006,11.970356641102999,11.849404844423074,Petrol,Individual,Manual,Third Owner,17.7,1497,78.0
2010,12.323860125621126,11.751950239425476,Diesel,Individual,Manual,First Owner,23.0,1396,90.0
2007,11.775297421715827,11.695255355062795,Petrol,Individual,Manual,First Owner,16.1,1298,88.2
2017,12.994532278619134,10.714439990727769,Petrol,Individual,Manual,First Owner,20.14,1197,81.86
2007,11.472113887062386,12.07254696717504,LPG,Individual,Manual,First Owner,17.3,1061,57.5
2001,10.714439990727769,8.517393171418904,Petrol,Individual,Manual,Second Owner,16.1,796,37.0
2011,12.765691290604371,11.407576060361786,Diesel,Individual,Manual,First Owner,23.59,1364,67.1
2013,12.206077645517674,12.037659911047468,Diesel,Individual,Manual,First Owner,20.0,1399,68.1
2014,13.122365377402328,11.127277689932466,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45
2005,11.429554725537322,11.51293546492023,Petrol,Individual,Manual,Second Owner,17.3,993,60.0
2009,12.54254845357358,11.849404844423074,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9
2009,12.100717685412471,11.407576060361786,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0
2016,12.899222326086994,10.596659732783579,Petrol,Individual,Manual,First Owner,18.15,1198,82.0
2016,13.564483088506746,11.156264806643742,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5
2012,13.122365377402328,10.87806606028079,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0
2002,11.918397239722838,11.289794413577894,Petrol,Individual,Manual,Second Owner,19.7,796,46.3
2016,13.429849547739444,11.51293546492023,Diesel,Individual,Manual,First Owner,22.54,1396,88.73
2011,12.066816325306588,11.51293546492023,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1
2017,13.76421831620775,10.819798284210286,Diesel,Individual,Manual,First Owner,25.5,1498,98.6
2015,13.171155446333852,10.596659732783579,Diesel,Individual,Manual,First Owner,26.59,1248,74.0
2012,13.304686600863562,11.184435286790631,Diesel,Individual,Manual,First Owner,21.5,1248,88.8
2018,13.122365377402328,10.463131911491967,Petrol,Individual,Manual,First Owner,20.3,1199,83.81
2016,13.26212705890841,10.714439990727769,Petrol,Individual,Manual,First Owner,21.4,1197,83.1
2017,12.524530013005734,10.239995502805316,Petrol,Individual,Manual,First Owner,24.7,796,47.3
2013,12.611541086966115,11.156264806643742,Diesel,Individual,Manual,First Owner,18.2,1248,73.8
2009,12.301387370778713,11.695255355062795,Petrol,Individual,Manual,First Owner,18.9,1061,67.0
2017,13.415034483903348,11.156264806643742,Diesel,Individual,Manual,First Owner,24.3,1248,88.5
2012,11.918397239722838,10.463131911491967,Petrol,Individual,Manual,Second Owner,14.0,796,35.0
2018,13.500801182986649,7.77863014732581,Petrol,Individual,Manual,First Owner,18.6,1197,81.83
2017,13.384729180332174,9.692828247710418,Diesel,Individual,Manual,First Owner,24.3,1248,88.5
2019,12.810391344620207,9.61587214452889,Petrol,Individual,Manual,First Owner,23.95,998,67.1
2016,11.918397239722838,10.645448706505872,Petrol,Individual,Manual,First Owner,20.63,1198,67.0
2012,11.918397239722838,11.23850177707664,Petrol,Individual,Manual,First Owner,16.1,796,37.0
2018,13.73755009757506,10.27163147557801,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3
2013,12.959846800844963,11.3655964644899,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3
2018,13.42246945133505,10.056251557087757,Petrol,Dealer,Automatic,First Owner,18.5,1197,83.14
2018,13.617059619240436,10.392098241730961,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5
2018,12.873904582205107,9.239996256883693,Petrol,Dealer,Manual,First Owner,23.95,998,67.05
2015,12.959846800844963,10.815790343132422,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63
2015,13.304686600863562,10.909637269778615,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6
2018,13.652992804936396,11.06665398721974,Petrol,Dealer,Manual,First Owner,20.65,1462,103.25
2015,13.171155446333852,11.050905878263567,Diesel,Dealer,Manual,First Owner,27.3,1498,98.6
2011,12.487488878546145,11.695255355062795,Diesel,Individual,Manual,First Owner,21.12,1248,88.8
2011,12.154784614286667,11.608244735642321,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9
2013,12.959846800844963,11.002116507732017,Diesel,Individual,Manual,First Owner,21.27,1396,88.76
2015,13.353476685668044,11.898194668458823,Diesel,Individual,Manual,Second Owner,26.59,1248,74.0
2017,13.304686600863562,10.12667110305036,Petrol,Individual,Manual,Third Owner,18.16,1196,86.8
2019,13.384729180332174,10.308985993422082,Petrol,Individual,Manual,First Owner,21.4,1197,83.1
2016,13.199326270390594,10.596659732783579,Diesel,Individual,Manual,First Owner,22.0,1498,108.495
2015,13.353476685668044,11.813037464800539,Diesel,Individual,Manual,First Owner,25.1,1498,98.6
2018,13.012550743537489,10.308985993422082,Petrol,Individual,Automatic,First Owner,20.51,998,67.0
2017,13.122365377402328,11.289794413577894,Diesel,Individual,Manual,First Owner,21.66,1498,108.62
2016,13.521140839642674,11.156264806643742,Diesel,Individual,Manual,First Owner,24.3,1248,88.5
2019,13.840204146163925,9.19532825185568,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5
2011,12.367345048436391,11.002116507732017,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9
2016,13.353476685668044,11.156264806643742,Diesel,Individual,Manual,First Owner,25.2,1248,74.0
2013,13.017005083966255,11.695255355062795,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0
2012,13.017005083966255,11.695255355062795,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7
2013,13.017005083966255,12.04355959836804,Diesel,Individual,Manual,First Owner,20.54,1598,103.6
2015,13.321215875492413,11.407576060361786,Diesel,Individual,Manual,First Owner,22.77,1498,98.59
2017,13.091904169919621,9.210440366976517,Petrol,Dealer,Manual,First Owner,23.1,998,67.04
2016,12.524530013005734,10.799595985047786,Petrol,Dealer,Manual,First Owner,19.02,1198,67.05
2016,12.660331092405906,10.373522431293592,Petrol,Dealer,Manual,First Owner,24.7,796,47.3
2016,12.524530013005734,10.545367754151743,Petrol,Dealer,Manual,First Owner,24.7,796,47.3
2012,12.577639650232573,10.239995502805316,Petrol,Dealer,Manual,First Owner,19.81,1086,68.05
2017,12.54254845357358,10.373522431293592,Petrol,Dealer,Manual,First Owner,14.0,796,35.0
2010,12.323860125621126,10.691967639914864,LPG,Dealer,Manual,First Owner,26.2,998,58.2
2015,13.02805489573287,10.645448706505872,Petrol,Dealer,Manual,First Owner,16.47,1198,74.0
2015,12.768544351446794,10.714439990727769,Petrol,Dealer,Manual,Second Owner,19.81,1086,68.05
2012,13.190023895035274,9.392745258631441,Petrol,Dealer,Manual,Second Owner,15.04,1598,103.6
2009,12.07254696717504,10.92415631759022,Petrol,Dealer,Manual,First Owner,18.2,998,67.1
2013,13.171155446333852,11.026808713825016,Petrol,Dealer,Manual,First Owner,18.5,1197,82.85
2016,13.304686600863562,11.918397239722838,Diesel,Individual,Manual,First Owner,26.59,1248,74.0
2016,13.244582780038517,11.184435286790631,Petrol,Dealer,Automatic,First Owner,19.1,1197,82.0
2008,11.695255355062795,11.127277689932466,Petrol,Dealer,Manual,Third Owner,19.7,796,46.3
2017,13.493928313146206,11.608244735642321,Diesel,Individual,Manual,First Owner,22.54,1396,88.73
2009,12.128116509451258,11.251573687764477,Petrol,Dealer,Manual,Second Owner,21.79,998,67.05
2010,12.206077645517674,11.51293546492023,Diesel,Individual,Manual,Second Owner,18.8,1248,90.0
2019,13.329379172803593,9.210440366976517,Petrol,Individual,Manual,First Owner,21.21,1197,81.8
2016,12.506180941677357,11.51293546492023,Petrol,Individual,Manual,Third Owner,15.37,1196,73.0
2018,13.321215875492413,10.463131911491967,Petrol,Individual,Manual,First Owner,21.4,1197,83.1
2020,12.899222326086994,8.517393171418904,Petrol,Individual,Manual,Second Owner,19.0,1194,94.68
2010,12.611541086966115,10.778977123006351,Petrol,Individual,Manual,First Owner,15.8,1172,65.0
2016,12.834683971615659,11.51293546492023,Diesel,Individual,Manual,First Owner,19.09,1405,69.01
2013,13.021437458814368,11.141876276228,Diesel,Individual,Manual,First Owner,21.9,1396,88.76
